parkinggeohash,avglatitude,avglongitude,city,county,state,country,iso_3166_2,avgtimetopark,avgtimetoparkratio,totalsearching,percentsearching,avguniquegeohashes,avgtotalgeohashes,circlingdistribution,hourlydistribution,percentcar,percentmpv,percentldt,percentmdt,percenthdt,percentother,updatedate,version
dphgscc,40,-83,Columbus,Franklin,Ohio,United States of America,US-OH,4,1,14,0,5,8,"{""dphgsf4"":0.1928, ""dphgsf1"":0.0905, ""dphgscb"":0.0907, ""dphgscf"":0.2164, ""dphgsc9"":0.0335, ""dphgsc8"":0.0025, ""dphgsf0"":0.04, ""dphgscd"":0.1005, ""dphgscc"":0.2331}","{""00"": null, ""01"": null, ""02"": null, ""03"": null, ""04"": null, ""05"": 0.1, ""06"": null, ""07"": 0.1, ""08"": 0.1, ""09"": null, ""10"": 0.1, ""11"": 0.1, ""12"": null, ""13"": null, ""14"": null, ""15"": null, ""16"": 0.1, ""17"": 0.1, ""18"": 0.1, ""19"": 0.1, ""20"": null, ""21"": null, ""22"": null, ""23"": 0.1}",0,0,0,0,0,0,2018-05-02,1
dphup6q,40,-82,Columbus,Franklin,Ohio,United States of America,US-OH,4,2,5,0,4,8,"{""dphup6w"":0.0773, ""dphup6q"":0.3957, ""dphup6m"":0.1211, ""dphup6n"":0.3578, ""dphup6t"":0.0481}","{""00"": null, ""01"": null, ""02"": null, ""03"": null, ""04"": null, ""05"": null, ""06"": null, ""07"": null, ""08"": 0.3333, ""09"": null, ""10"": 0.3333, ""11"": 0.3333, ""12"": null, ""13"": null, ""14"": null, ""15"": null, ""16"": null, ""17"": null, ""18"": null, ""19"": null, ""20"": null, ""21"": null, ""22"": null, ""23"": null}",0,0,0,0,0,0,2018-05-02,1
dphgyj2,40,-83,Columbus,Franklin,Ohio,United States of America,US-OH,2,1,9,0,4,6,"{""dphgyj1"":0.0864, ""dphgvvp"":0.0202, ""dphgyj3"":0.0605, ""dphgvvx"":0.2333, ""dphgvvr"":0.2252, ""dphgyj0"":0.1296, ""dphgyj2"":0.2448}","{""00"": null, ""01"": null, ""02"": null, ""03"": null, ""04"": null, ""05"": null, ""06"": 0.25, ""07"": null, ""08"": null, ""09"": null, ""10"": null, ""11"": 0.25, ""12"": 0.25, ""13"": null, ""14"": null, ""15"": null, ""16"": 0.25, ""17"": null, ""18"": null, ""19"": null, ""20"": null, ""21"": null, ""22"": null, ""23"": null}",0,0,0,0,0,0,2018-05-02,1
dphgwbg,39,-83,Columbus,Franklin,Ohio,United States of America,US-OH,7,1,17,0,5,8,"{""dphgwbg"":0.2301, ""dphgwbu"":0.1477, ""dphgwch"":0.1094, ""dphgwc5"":0.1253, ""dphgwc4"":0.0271, ""dphgwbe"":0.111, ""dphgwbs"":0.1063, ""dphgwbf"":0.0579, ""dphgwbd"":0.0851}","{""00"": null, ""01"": null, ""02"": null, ""03"": 0.0769, ""04"": 0.0769, ""05"": 0.0769, ""06"": 0.0769, ""07"": 0.0769, ""08"": 0.0769, ""09"": 0.0769, ""10"": null, ""11"": 0.0769, ""12"": 0.0769, ""13"": 0.0769, ""14"": null, ""15"": null, ""16"": 0.0769, ""17"": null, ""18"": null, ""19"": null, ""20"": 0.0769, ""21"": null, ""22"": null, ""23"": 0.0769}",0,0,0,0,0,0,2018-05-02,1
dphuppk,40,-83,Columbus,Franklin,Ohio,United States of America,US-OH,2,1,38,0,4,7,"{""dphuppk"":0.2069, ""dphuppj"":0.0871, ""dphupph"":0.2437, ""dphupp5"":0.0826, ""dphupp7"":0.2981, ""dphuppm"":0.0816}","{""00"": null, ""01"": null, ""02"": null, ""03"": null, ""04"": 0.0833, ""05"": 0.0833, ""06"": null, ""07"": null, ""08"": 0.0833, ""09"": 0.0833, ""10"": 0.0833, ""11"": 0.0833, ""12"": 0.0833, ""13"": 0.0833, ""14"": 0.0833, ""15"": 0.0833, ""16"": 0.0833, ""17"": 0.0833, ""18"": null, ""19"": null, ""20"": null, ""21"": null, ""22"": null, ""23"": null}",0,0,0,0,0,0,2018-05-02,1
dpj5c68,40,-82,Columbus,Franklin,Ohio,United States of America,US-OH,5,1,7,0,4,7,"{""dpj5c4x"":0.2164, ""dpj5c69"":0.1098, ""dpj5c6c"":0.0545, ""dpj5c62"":0.0629, ""dpj5c4z"":0.1898, ""dpj5c63"":0.1153, ""dpj5c68"":0.1629, ""dpj5c6b"":0.0884}","{""00"": null, ""01"": null, ""02"": null, ""03"": null, ""04"": null, ""05"": null, ""06"": null, ""07"": null, ""08"": null, ""09"": null, ""10"": 0.2, ""11"": null, ""12"": 0.2, ""13"": null, ""14"": 0.2, ""15"": 0.2, ""16"": null, ""17"": null, ""18"": 0.2, ""19"": null, ""20"": null, ""21"": null, ""22"": null, ""23"": null}",0,0,0,0,0,0,2018-05-02,1
dpj5c5m,40,-82,Columbus,Franklin,Ohio,United States of America,US-OH,5,2,9,0,4,8,"{""dpj5c5q"":0.0981, ""dpj5c5w"":0.0885, ""dpj5c5s"":0.0795, ""dpj5c5k"":0.0449, ""dpj5c5h"":0.2547, ""dpj5c5j"":0.1072, ""dpj5c5t"":0.0657, ""dpj5c5n"":0.0547, ""dpj5c5m"":0.2067}","{""00"": null, ""01"": null, ""02"": null, ""03"": null, ""04"": null, ""05"": null, ""06"": null, ""07"": 0.1429, ""08"": null, ""09"": null, ""10"": null, ""11"": null, ""12"": 0.1429, ""13"": 0.1429, ""14"": 0.1429, ""15"": 0.1429, ""16"": null, ""17"": 0.1429, ""18"": null, ""19"": null, ""20"": null, ""21"": 0.1429, ""22"": null, ""23"": null}",0,0,0,0,0,0,2018-05-02,1
dphupn2,40,-83,Columbus,Franklin,Ohio,United States of America,US-OH,6,3,6,0,6,9,"{""dphupn8"":0.0847, ""dphupn0"":0.0426, ""dphupn3"":0.0926, ""dphunyx"":0.0639, ""dphunyr"":0.0713, ""dphupn2"":0.3463, ""dphupn1"":0.0403, ""dphupn9"":0.2469, ""dphunyp"":0.0113}","{""00"": null, ""01"": null, ""02"": null, ""03"": null, ""04"": null, ""05"": null, ""06"": null, ""07"": null, ""08"": null, ""09"": null, ""10"": null, ""11"": null, ""12"": null, ""13"": null, ""14"": 0.2, ""15"": null, ""16"": 0.2, ""17"": null, ""18"": 0.2, ""19"": null, ""20"": null, ""21"": null, ""22"": 0.2, ""23"": 0.2}",0,0,0,0,0,0,2018-05-02,1
dphgr6f,39,-82,Columbus,Franklin,Ohio,United States of America,US-OH,5,1,6,0,4,7,"{""dphgr75"":0.0761, ""dphgr6c"":0.1104, ""dphgr6e"":0.1612, ""dphgr6d"":0.0672, ""dphgr71"":0.1489, ""dphgr74"":0.167, ""dphgr69"":0.0627, ""dphgr6g"":0.0918, ""dphgr6f"":0.1148}","{""00"": null, ""01"": null, ""02"": null, ""03"": null, ""04"": null, ""05"": null, ""06"": 0.25, ""07"": null, ""08"": null, ""09"": null, ""10"": null, ""11"": null, ""12"": 0.25, ""13"": 0.25, ""14"": 0.25, ""15"": null, ""16"": null, ""17"": null, ""18"": null, ""19"": null, ""20"": null, ""21"": null, ""22"": null, ""23"": null}",0,0,0,0,0,0,2018-05-02,1
dpj55hg,39,-82,Columbus,Franklin,Ohio,United States of America,US-OH,4,1,8,0,6,9,"{""dpj55he"":0.1296, ""dpj55hg"":0.3682, ""dpj55hs"":0.1119, ""dpj55hf"":0.197, ""dpj55hd"":0.0653, ""dpj55hu"":0.0691, ""dpj55jh"":0.0588}","{""00"": null, ""01"": null, ""02"": null, ""03"": 0.1667, ""04"": null, ""05"": null, ""06"": null, ""07"": 0.1667, ""08"": null, ""09"": 0.1667, ""10"": null, ""11"": null, ""12"": null, ""13"": 0.1667, ""14"": 0.1667, ""15"": null, ""16"": null, ""17"": 0.1667, ""18"": null, ""19"": null, ""20"": null, ""21"": null, ""22"": null, ""23"": null}",0,0,0,0,0,0,2018-05-02,1
dphgrc3,39,-82,Columbus,Franklin,Ohio,United States of America,US-OH,6,1,5,0,5,7,"{""dphgrc6"":0.1341, ""dphgrc3"":0.1758, ""dphgrc4"":0.1102, ""dphgrc2"":0.1415, ""dphgrc0"":0.1807, ""dphgrcd"":0.1274, ""dphgrc1"":0.1304}","{""00"": null, ""01"": null, ""02"": null, ""03"": null, ""04"": null, ""05"": null, ""06"": null, ""07"": null, ""08"": 0.25, ""09"": 0.25, ""10"": null, ""11"": null, ""12"": 0.25, ""13"": null, ""14"": null, ""15"": 0.25, ""16"": null, ""17"": null, ""18"": null, ""19"": null, ""20"": null, ""21"": null, ""22"": null, ""23"": null}",0,0,0,0,0,0,2018-05-02,1
dphgrd0,39,-82,Columbus,Franklin,Ohio,United States of America,US-OH,6,2,5,0,5,8,"{""dphgrd0"":0.2353, ""dphgr9b"":0.0966, ""dphgr9c"":0.1399, ""dphgrd1"":0.0371, ""dphgr6r"":0.1068, ""dphgrd3"":0.0932, ""dphgr6p"":0.0814, ""dphgrd2"":0.1606, ""dphgr3z"":0.0492}","{""00"": null, ""01"": null, ""02"": null, ""03"": null, ""04"": null, ""05"": null, ""06"": 0.2, ""07"": null, ""08"": 0.2, ""09"": null, ""10"": null, ""11"": 0.2, ""12"": null, ""13"": 0.2, ""14"": null, ""15"": 0.2, ""16"": null, ""17"": null, ""18"": null, ""19"": null, ""20"": null, ""21"": null, ""22"": null, ""23"": null}",0,0,0,0,0,0,2018-05-02,1
dphurf4,40,-82,Columbus,Franklin,Ohio,United States of America,US-OH,5,1,5,0,5,8,"{""dphurf1"":0.1536, ""dphurf7"":0.0582, ""dphurf3"":0.0758, ""dphurf4"":0.3382, ""dphurf6"":0.0786, ""dphurcc"":0.2932, ""dphurf5"":0.0023}","{""00"": null, ""01"": null, ""02"": null, ""03"": null, ""04"": null, ""05"": null, ""06"": null, ""07"": null, ""08"": null, ""09"": 0.25, ""10"": null, ""11"": null, ""12"": null, ""13"": 0.25, ""14"": null, ""15"": null, ""16"": 0.25, ""17"": 0.25, ""18"": null, ""19"": null, ""20"": null, ""21"": null, ""22"": null, ""23"": null}",0,0,0,0,0,0,2018-05-02,1
dphgpqz,39,-82,Columbus,Franklin,Ohio,United States of America,US-OH,5,1,8,0,4,9,"{""dphgpqx"":0.2368, ""dphgpqz"":0.1301, ""dphgpw8"":0.2007, ""dphgpqw"":0.0725, ""dphgprn"":0.0743, ""dphgpwb"":0.0686, ""dphgpqy"":0.0924, ""dphgpx0"":0.0554, ""dphgprp"":0.0693}","{""00"": null, ""01"": null, ""02"": null, ""03"": null, ""04"": null, ""05"": null, ""06"": null, ""07"": null, ""08"": null, ""09"": 0.25, ""10"": null, ""11"": 0.25, ""12"": 0.25, ""13"": 0.25, ""14"": null, ""15"": null, ""16"": null, ""17"": null, ""18"": null, ""19"": null, ""20"": null, ""21"": null, ""22"": null, ""23"": null}",0,0,0,0,0,0,2018-05-02,1
dphgr34,39,-82,Columbus,Franklin,Ohio,United States of America,US-OH,3,1,73,0,4,7,"{""dphgr31"":0.1133, ""dphgr34"":0.1756, ""dphgr35"":0.0674, ""dphgr2f"":0.1083, ""dphgr36"":0.1007, ""dphgr2g"":0.0795, ""dphgr37"":0.1453, ""dphgr2c"":0.0905, ""dphgr33"":0.1195}","{""00"": null, ""01"": null, ""02"": null, ""03"": null, ""04"": null, ""05"": 0.0855, ""06"": 0.0789, ""07"": 0.0789, ""08"": 0.0789, ""09"": 0.1053, ""10"": 0.0789, ""11"": 0.0789, ""12"": 0.0829, ""13"": 0.0947, ""14"": null, ""15"": null, ""16"": null, ""17"": 0.0789, ""18"": 0.0789, ""19"": null, ""20"": 0.0789, ""21"": null, ""22"": null, ""23"": null}",0,0,0,0,0,0,2018-05-02,1
dpj5c5g,40,-82,Columbus,Franklin,Ohio,United States of America,US-OH,4,1,5,0,4,7,"{""dpj5c5d"":0.0975, ""dpj5c5e"":0.2724, ""dpj5c5f"":0.0969, ""dpj5c5s"":0.3377, ""dpj5ch5"":0.0411, ""dpj5c5u"":0.0587, ""dpj5c5g"":0.0957}","{""00"": null, ""01"": null, ""02"": null, ""03"": null, ""04"": null, ""05"": null, ""06"": null, ""07"": null, ""08"": null, ""09"": 0.2, ""10"": null, ""11"": 0.2, ""12"": null, ""13"": 0.2, ""14"": null, ""15"": 0.2, ""16"": null, ""17"": null, ""18"": null, ""19"": null, ""20"": 0.2, ""21"": null, ""22"": null, ""23"": null}",0,0,0,0,0,0,2018-05-02,1
dphgr6x,39,-82,Columbus,Franklin,Ohio,United States of America,US-OH,5,1,8,0,5,9,"{""dphgr6y"":0.0308, ""dphgr6z"":0.1091, ""dphgrdb"":0.1264, ""dphgr6x"":0.1359, ""dphgrd2"":0.1841, ""dphgr6w"":0.1261, ""dphgr6r"":0.0703, ""dphgrd8"":0.0821, ""dphgr6q"":0.1352}","{""00"": null, ""01"": null, ""02"": null, ""03"": null, ""04"": null, ""05"": null, ""06"": null, ""07"": 0.1667, ""08"": null, ""09"": 0.1667, ""10"": 0.1667, ""11"": null, ""12"": 0.1667, ""13"": 0.1667, ""14"": 0.1667, ""15"": null, ""16"": null, ""17"": null, ""18"": null, ""19"": null, ""20"": null, ""21"": null, ""22"": null, ""23"": null}",0,0,0,0,0,0,2018-05-02,1
dpj58ce,39,-82,Columbus,Franklin,Ohio,United States of America,US-OH,4,1,8,0,4,7,"{""dpj58ce"":0.238, ""dpj58cg"":0.1182, ""dpj58c7"":0.1165, ""dpj58c6"":0.1488, ""dpj58cd"":0.1568, ""dpj58cs"":0.1815, ""dpj58ck"":0.0403}","{""00"": 0.1429, ""01"": null, ""02"": null, ""03"": null, ""04"": null, ""05"": null, ""06"": null, ""07"": null, ""08"": null, ""09"": null, ""10"": 0.1429, ""11"": null, ""12"": 0.1429, ""13"": 0.1429, ""14"": null, ""15"": null, ""16"": 0.1429, ""17"": 0.1429, ""18"": null, ""19"": null, ""20"": null, ""21"": 0.1429, ""22"": null, ""23"": null}",0,0,0,0,0,0,2018-05-02,1
dpj5c5e,40,-82,Columbus,Franklin,Ohio,United States of America,US-OH,5,2,5,0,4,8,"{""dpj5c57"":0.0333, ""dpj5c5e"":0.2851, ""dpj5c5g"":0.0917, ""dpj5c5u"":0.0771, ""dpj5c5s"":0.2764, ""dpj5c5f"":0.1083, ""dpj5c5d"":0.074, ""dpj5c56"":0.0083, ""dpj5c5k"":0.0458}","{""00"": null, ""01"": null, ""02"": null, ""03"": null, ""04"": null, ""05"": null, ""06"": null, ""07"": null, ""08"": 0.25, ""09"": null, ""10"": null, ""11"": 0.25, ""12"": 0.25, ""13"": null, ""14"": null, ""15"": null, ""16"": null, ""17"": 0.25, ""18"": null, ""19"": null, ""20"": null, ""21"": null, ""22"": null, ""23"": null}",0,0,0,0,0,0,2018-05-02,1
dphgr76,39,-82,Columbus,Franklin,Ohio,United States of America,US-OH,5,1,8,0,5,10,"{""dphgr71"":0.1586, ""dphgr77"":0.0751, ""dphgr7e"":0.0815, ""dphgr74"":0.1198, ""dphgr75"":0.0919, ""dphgr76"":0.2633, ""dphgr7d"":0.2098}","{""00"": null, ""01"": null, ""02"": null, ""03"": null, ""04"": null, ""05"": null, ""06"": null, ""07"": 0.2, ""08"": null, ""09"": 0.2, ""10"": 0.2, ""11"": null, ""12"": null, ""13"": null, ""14"": null, ""15"": null, ""16"": null, ""17"": null, ""18"": null, ""19"": 0.2, ""20"": null, ""21"": null, ""22"": null, ""23"": 0.2}",0,0,0,0,0,0,2018-05-02,1
dpj55hm,39,-82,Columbus,Franklin,Ohio,United States of America,US-OH,4,2,8,0,5,8,"{""dpj55hj"":0.0442, ""dpj55hk"":0.0469, ""dpj55hm"":0.2436, ""dpj55hn"":0.1117, ""dpj55hs"":0.1565, ""dpj55hq"":0.1219, ""dpj55hh"":0.1024, ""dpj55hw"":0.0782, ""dpj55ht"":0.0946}","{""00"": null, ""01"": null, ""02"": null, ""03"": null, ""04"": null, ""05"": null, ""06"": null, ""07"": null, ""08"": null, ""09"": 0.1667, ""10"": null, ""11"": null, ""12"": null, ""13"": 0.1667, ""14"": 0.1667, ""15"": 0.1667, ""16"": null, ""17"": 0.1667, ""18"": null, ""19"": 0.1667, ""20"": null, ""21"": null, ""22"": null, ""23"": null}",0,0,0,0,0,0,2018-05-02,1
dphgwzj,40,-83,Columbus,Franklin,Ohio,United States of America,US-OH,1,1,9,0,4,7,"{""dphgwzn"":0.2217, ""dphgwzh"":0.3695, ""dphgwyv"":0.0887, ""dphgwzm"":0.1741, ""dphgwzj"":0.1165, ""dphgwyy"":0.0296}","{""00"": null, ""01"": null, ""02"": null, ""03"": null, ""04"": null, ""05"": null, ""06"": null, ""07"": null, ""08"": 0.2, ""09"": 0.2, ""10"": 0.2, ""11"": null, ""12"": null, ""13"": 0.2, ""14"": null, ""15"": 0.2, ""16"": null, ""17"": null, ""18"": null, ""19"": null, ""20"": null, ""21"": null, ""22"": null, ""23"": null}",0,0,0,0,0,0,2018-05-02,1
dphunzn,40,-83,Columbus,Franklin,Ohio,United States of America,US-OH,3,1,7,0,5,8,"{""dphunyy"":0.147, ""dphunzm"":0.0447, ""dphunzp"":0.1034, ""dphunzj"":0.0931, ""dphunzn"":0.2664, ""dphunzq"":0.1582, ""dphunyv"":0.0755, ""dphunyz"":0.1117}","{""00"": null, ""01"": null, ""02"": null, ""03"": null, ""04"": null, ""05"": null, ""06"": null, ""07"": 0.1667, ""08"": null, ""09"": 0.1667, ""10"": null, ""11"": null, ""12"": null, ""13"": 0.1667, ""14"": null, ""15"": 0.1667, ""16"": null, ""17"": 0.1667, ""18"": 0.1667, ""19"": null, ""20"": null, ""21"": null, ""22"": null, ""23"": null}",0,0,0,0,0,0,2018-05-02,1
dphgrdg,39,-82,Columbus,Franklin,Ohio,United States of America,US-OH,4,1,6,0,5,8,"{""dphgre5"":0.0933, ""dphgrdg"":0.263, ""dphgre4"":0.1112, ""dphgrds"":0.0533, ""dphgrdu"":0.0804, ""dphgreh"":0.0298, ""dphgrdf"":0.1452, ""dphgrde"":0.2237}","{""00"": null, ""01"": null, ""02"": null, ""03"": null, ""04"": null, ""05"": null, ""06"": null, ""07"": 0.1667, ""08"": null, ""09"": null, ""10"": null, ""11"": null, ""12"": 0.1667, ""13"": 0.1667, ""14"": 0.1667, ""15"": null, ""16"": null, ""17"": null, ""18"": 0.1667, ""19"": 0.1667, ""20"": null, ""21"": null, ""22"": null, ""23"": null}",0,0,0,0,0,0,2018-05-02,1
dphgr4z,39,-83,Columbus,Franklin,Ohio,United States of America,US-OH,7,2,6,0,5,8,"{""dphgr6b"":0.136, ""dphgr70"":0.0709, ""dphgr68"":0.0284, ""dphgr4y"":0.1017, ""dphgr4w"":0, ""dphgr4x"":0.0581, ""dphgr5n"":0.3382, ""dphgr5p"":0.134, ""dphgr4z"":0.1328}","{""00"": null, ""01"": null, ""02"": null, ""03"": null, ""04"": null, ""05"": null, ""06"": null, ""07"": null, ""08"": null, ""09"": 0.25, ""10"": 0.25, ""11"": 0.25, ""12"": null, ""13"": 0.25, ""14"": null, ""15"": null, ""16"": null, ""17"": null, ""18"": null, ""19"": null, ""20"": null, ""21"": null, ""22"": null, ""23"": null}",0,0,0,0,0,0,2018-05-02,1
dphgrm4,39,-82,Columbus,Franklin,Ohio,United States of America,US-OH,3,1,8,0,5,8,"{""dphgrm7"":0.042, ""dphgrkg"":0.0171, ""dphgrm5"":0.0934, ""dphgrkc"":0.1488, ""dphgrm4"":0.4152, ""dphgrm6"":0.04, ""dphgrkf"":0.064, ""dphgrm1"":0.1795}","{""00"": null, ""01"": null, ""02"": null, ""03"": null, ""04"": null, ""05"": null, ""06"": 0.1667, ""07"": null, ""08"": null, ""09"": null, ""10"": 0.1667, ""11"": 0.1667, ""12"": 0.1667, ""13"": null, ""14"": null, ""15"": null, ""16"": null, ""17"": 0.1667, ""18"": null, ""19"": null, ""20"": 0.1667, ""21"": null, ""22"": null, ""23"": null}",0,0,0,0,0,0,2018-05-02,1
dphupn8,40,-83,Columbus,Franklin,Ohio,United States of America,US-OH,3,1,6,0,4,7,"{""dphupn3"":0.0874, ""dphupnb"":0.1609, ""dphunyr"":0.0672, ""dphupn8"":0.1332, ""dphunyx"":0.0595, ""dphupn2"":0.0857, ""dphupn9"":0.1334, ""dphunyz"":0.2728}","{""00"": null, ""01"": 0.1667, ""02"": null, ""03"": null, ""04"": null, ""05"": null, ""06"": null, ""07"": null, ""08"": null, ""09"": null, ""10"": null, ""11"": null, ""12"": 0.1667, ""13"": null, ""14"": null, ""15"": null, ""16"": null, ""17"": 0.1667, ""18"": 0.1667, ""19"": 0.1667, ""20"": null, ""21"": null, ""22"": 0.1667, ""23"": null}",0,0,0,0,0,0,2018-05-02,1
dphgr7b,39,-83,Columbus,Franklin,Ohio,United States of America,US-OH,4,1,17,0,5,8,"{""dphgrhp"":0.1166, ""dphgrk1"":0.0996, ""dphgr7b"":0.2074, ""dphgr5x"":0.0678, ""dphgr79"":0.0943, ""dphgr5z"":0.0471, ""dphgrk0"":0.1456, ""dphgr78"":0.1363, ""dphgr7c"":0.0853}","{""00"": null, ""01"": null, ""02"": null, ""03"": null, ""04"": 0.0769, ""05"": 0.0769, ""06"": 0.0769, ""07"": 0.0769, ""08"": null, ""09"": 0.0769, ""10"": null, ""11"": 0.0769, ""12"": 0.0769, ""13"": 0.0769, ""14"": null, ""15"": 0.0769, ""16"": 0.0769, ""17"": 0.0769, ""18"": 0.1538, ""19"": null, ""20"": null, ""21"": null, ""22"": null, ""23"": null}",0,0,0,0,0,0,2018-05-02,1
dphfzk3,39,-83,Columbus,Franklin,Ohio,United States of America,US-OH,5,2,10,0,4,7,"{""dphfzk2"":0.1949, ""dphfzk8"":0.0469, ""dphfzk9"":0.159, ""dphfzk3"":0.4038, ""dphfzk6"":0.1076, ""dphfzk0"":0.0878}","{""00"": null, ""01"": null, ""02"": null, ""03"": null, ""04"": null, ""05"": null, ""06"": null, ""07"": 0.125, ""08"": 0.125, ""09"": null, ""10"": 0.125, ""11"": 0.125, ""12"": null, ""13"": 0.125, ""14"": null, ""15"": null, ""16"": 0.125, ""17"": null, ""18"": null, ""19"": 0.125, ""20"": null, ""21"": null, ""22"": 0.125, ""23"": null}",0,0,0,0,0,0,2018-05-02,1
dphgkus,39,-83,Columbus,Franklin,Ohio,United States of America,US-OH,2,1,6,0,4,7,"{""dphgkug"":0.0112, ""dphgkuv"":0.0797, ""dphgkus"":0.5079, ""dphgkuk"":0.1344, ""dphgkuu"":0.2433, ""dphgkut"":0.0235}","{""00"": null, ""01"": null, ""02"": null, ""03"": null, ""04"": null, ""05"": null, ""06"": null, ""07"": null, ""08"": 0.25, ""09"": 0.25, ""10"": 0.25, ""11"": null, ""12"": null, ""13"": null, ""14"": 0.25, ""15"": null, ""16"": null, ""17"": null, ""18"": null, ""19"": null, ""20"": null, ""21"": null, ""22"": null, ""23"": null}",0,0,0,0,0,0,2018-05-02,1
dphgrkc,39,-82,Columbus,Franklin,Ohio,United States of America,US-OH,9,1,9,0,4,8,"{""dphgrkd"":0.0247, ""dphgrkc"":0.4398, ""dphgrm0"":0.0784, ""dphgrm1"":0.1172, ""dphgrkf"":0.0445, ""dphgrk9"":0.2955}","{""00"": null, ""01"": null, ""02"": null, ""03"": null, ""04"": null, ""05"": null, ""06"": null, ""07"": null, ""08"": null, ""09"": 0.1429, ""10"": 0.1429, ""11"": 0.1429, ""12"": 0.1429, ""13"": null, ""14"": null, ""15"": 0.1429, ""16"": 0.1429, ""17"": null, ""18"": 0.1429, ""19"": null, ""20"": null, ""21"": null, ""22"": null, ""23"": null}",0,0,0,0,0,0,2018-05-02,1
dphgr7q,39,-82,Columbus,Franklin,Ohio,United States of America,US-OH,5,1,96,0,5,8,"{""dphgr7r"":0.0997, ""dphgr7j"":0.1793, ""dphgr7q"":0.1524, ""dphgr7t"":0.0578, ""dphgr7w"":0.0744, ""dphgr7n"":0.1004, ""dphgr7p"":0.0814, ""dphgr7x"":0.1509, ""dphgr7m"":0.1038}","{""00"": null, ""01"": null, ""02"": null, ""03"": null, ""04"": null, ""05"": null, ""06"": 0.0884, ""07"": 0.0929, ""08"": 0.0884, ""09"": 0.1032, ""10"": 0.0884, ""11"": 0.0884, ""12"": 0.0884, ""13"": 0.0884, ""14"": 0.0965, ""15"": 0.0884, ""16"": 0.0884, ""17"": null, ""18"": null, ""19"": null, ""20"": null, ""21"": null, ""22"": null, ""23"": null}",0,0,0,0,0,0,2018-05-02,1
dphg7y0,39,-83,Columbus,Franklin,Ohio,United States of America,US-OH,7,1,6,0,5,13,"{""dphg7vb"":0.13, ""dphg7tz"":0.0771, ""dphg7wp"":0.1376, ""dphg7y2"":0.0562, ""dphg7y1"":0.1331, ""dphg7vc"":0.1421, ""dphg7y3"":0.0435, ""dphg7wr"":0.0489, ""dphg7y0"":0.2313}","{""00"": null, ""01"": null, ""02"": null, ""03"": null, ""04"": null, ""05"": null, ""06"": null, ""07"": null, ""08"": null, ""09"": null, ""10"": null, ""11"": null, ""12"": 0.2, ""13"": 0.2, ""14"": 0.4, ""15"": null, ""16"": null, ""17"": 0.2, ""18"": null, ""19"": null, ""20"": null, ""21"": null, ""22"": null, ""23"": null}",0,0,0,0,0,0,2018-05-02,1
dphgqr2,39,-83,Columbus,Franklin,Ohio,United States of America,US-OH,3,1,7,0,4,7,"{""dphgqr9"":0.158, ""dphgqr0"":0.1107, ""dphgqpx"":0.0279, ""dphgqr3"":0.1255, ""dphgqr2"":0.1647, ""dphgqr8"":0.4132}","{""00"": null, ""01"": null, ""02"": null, ""03"": null, ""04"": 0.25, ""05"": null, ""06"": 0.25, ""07"": null, ""08"": null, ""09"": null, ""10"": null, ""11"": 0.25, ""12"": null, ""13"": null, ""14"": null, ""15"": null, ""16"": null, ""17"": 0.25, ""18"": null, ""19"": null, ""20"": null, ""21"": null, ""22"": null, ""23"": null}",0,0,0,0,0,0,2018-05-02,1
dpj591q,39,-82,Columbus,Franklin,Ohio,United States of America,US-OH,3,1,6,0,6,8,"{""dpj591x"":0.1029, ""dpj591w"":0.0703, ""dpj591m"":0.1932, ""dpj591q"":0.4655, ""dpj591r"":0.0954, ""dpj591t"":0.0728}","{""00"": null, ""01"": null, ""02"": null, ""03"": null, ""04"": 0.1667, ""05"": null, ""06"": 0.1667, ""07"": 0.1667, ""08"": null, ""09"": null, ""10"": null, ""11"": 0.1667, ""12"": 0.1667, ""13"": null, ""14"": null, ""15"": null, ""16"": null, ""17"": null, ""18"": null, ""19"": 0.1667, ""20"": null, ""21"": null, ""22"": null, ""23"": null}",0,0,0,0,0,0,2018-05-02,1
dphupqg,40,-82,Columbus,Franklin,Ohio,United States of America,US-OH,8,2,38,0,4,6,"{""dphupqd"":0.0712, ""dphuprh"":0.0792, ""dphupqu"":0.0619, ""dphupqs"":0.0615, ""dphupqe"":0.2676, ""dphupqg"":0.2953, ""dphupr5"":0.1033, ""dphupqf"":0.06}","{""00"": null, ""01"": null, ""02"": null, ""03"": null, ""04"": null, ""05"": null, ""06"": 0.0909, ""07"": 0.0909, ""08"": 0.0909, ""09"": null, ""10"": 0.0909, ""11"": 0.0909, ""12"": null, ""13"": 0.0909, ""14"": 0.0909, ""15"": 0.0909, ""16"": 0.0909, ""17"": 0.0909, ""18"": 0.0909, ""19"": null, ""20"": null, ""21"": null, ""22"": null, ""23"": null}",0,0,0,0,0,0,2018-05-02,1
