Device,Trip,Time,NativeFlag,LocalTimeMS,IntersectId,LaneId,MovementPhase,SignalGroupId,MinEndTime
2004,47,23450,0,82265947,2103,11,4,4,30738
2004,47,23500,0,82266447,2103,11,4,4,30743
2004,47,23550,0,82266947,2103,11,4,4,30743
2004,47,23600,0,82267447,2103,11,4,4,30745
2004,47,23650,0,82267947,2103,11,4,4,30745
2004,47,23700,0,82268447,2103,11,4,4,30745
2004,47,23750,0,82268947,2103,11,4,4,30749
2004,47,23800,0,82269447,2103,11,4,4,30755
2004,47,23850,0,82269947,2103,11,4,4,30759
2004,54,105950,0,83744168,4096,6,4,4,10300
2004,54,106000,0,83744668,4096,6,4,4,10300
2004,54,106050,0,83745168,4096,6,4,4,10300
2004,54,106100,0,83745668,4096,6,4,4,10300
2004,54,106150,0,83746168,4096,6,4,4,10300
2004,54,106200,0,83746668,4096,6,4,4,10300
2004,54,106250,0,83747169,4096,6,4,4,10300
2004,54,106300,0,83747669,4096,6,4,4,10300
2004,54,106350,0,83748169,4096,6,4,4,10300
2004,54,106400,0,83748669,4096,6,4,4,10300
2004,54,106450,0,83749169,4096,6,4,4,10300
2004,54,106500,0,83749669,4096,6,4,4,10300
2004,54,106550,0,83750169,4096,6,4,4,10300
2004,54,106600,0,83750669,4096,6,4,4,10300
2004,54,106650,0,83751169,4096,6,4,4,10300
2004,54,106700,0,83751669,4096,6,4,4,10300
2004,54,106750,0,83752169,4096,6,4,4,10300
2004,54,106800,0,83752669,4096,6,4,4,10300
2004,54,106850,0,83753169,4096,6,4,4,10300
2004,54,106900,0,83753669,4096,6,4,4,10300
2004,54,106950,0,83754169,4096,6,4,4,10300
2004,54,107000,0,83754669,4096,6,4,4,10300
2004,54,107050,0,83755169,4096,6,4,4,10300
2004,54,107100,0,83755669,4096,6,4,4,10300
2004,54,107150,0,83756169,4096,6,4,4,10300
2004,54,107200,0,83756669,4096,6,4,4,10300
2004,54,107250,0,83757169,4096,6,4,4,10300
2004,54,107300,0,83757669,4096,6,4,4,10300
2004,54,107350,0,83758169,4096,6,4,4,10300
2004,54,107400,0,83758669,4096,6,4,4,10300
2004,54,107450,0,83759169,4096,6,4,4,10300
2004,54,107500,0,83759669,4096,6,4,4,10300
2004,54,107550,0,83760170,4096,6,4,4,10300
2004,54,107600,0,83760670,4096,6,4,4,10300
2004,54,107650,0,83761170,4096,6,4,4,10300
2004,54,107700,0,83761670,4096,6,4,4,10300
2004,54,107750,0,83762170,4096,6,4,4,10300
2004,54,107800,0,83762670,4096,6,4,4,10300
2004,54,107850,0,83763170,4096,6,4,4,10300
2004,54,107900,0,83763670,4096,6,4,4,10300
2004,54,107950,0,83764170,4096,6,4,4,10300
2004,54,108000,0,83764670,4096,6,4,4,10300
2004,54,108050,0,83765170,4096,6,4,4,10300
2004,54,108100,0,83765670,4096,6,4,4,10300
2004,54,108150,0,83766170,4096,6,4,4,10300
2004,54,108200,0,83766670,4096,6,4,4,10300
2004,54,108250,0,83767170,4096,6,4,4,10300
2004,54,108300,0,83767670,4096,6,4,4,10300
2004,54,108350,0,83768170,4096,6,4,4,10300
2004,54,108400,0,83768670,4096,6,4,4,10300
2004,54,108450,0,83769170,4096,6,4,4,10300
2004,54,108500,0,83769670,4096,6,4,4,10300
2004,54,108550,0,83770170,4096,6,4,4,10300
2004,54,108600,0,83770670,4096,6,4,4,10300
2004,54,108650,0,83771170,4096,6,1,4,9780
2004,54,108700,0,83771670,4096,6,1,4,9780
2004,54,108750,0,83772170,4096,6,1,4,9780
2004,54,108800,0,83772670,4096,6,1,4,9780
2004,54,108850,0,83773170,4096,6,1,4,9780
2004,54,108900,0,83773670,4096,6,1,4,9780
2004,54,108950,0,83774171,4096,6,1,4,9780
2004,54,109000,0,83774671,4096,6,1,4,9780
2004,54,109050,0,83775171,4096,6,1,4,9780
2004,54,109100,0,83775671,4096,6,1,4,9780
2004,54,109150,0,83776171,4096,6,1,4,9780
2004,54,109200,0,83776671,4096,6,1,4,9780
2004,54,109250,0,83777171,4096,6,1,4,9780
2004,54,109300,0,83777671,4096,6,1,4,9780
2004,54,109350,0,83778171,4096,6,1,4,9780
2004,54,109400,0,83778671,4096,6,1,4,9780
